name,region,longitude,latitude,worldX,worldY,locationtype,locationtypeenum,mplongitude,mplatitude,gisX,gisY,dungeontype
The Citadel of Gaersly,Wrothgarian Mountains,124072,63784,969,1,DungeonKeep,DungeonKeep,969.3125,-0.6875,969.5,-1.5,RuinedCastle
The Citadel of Gaersly,Ilessan Hills,42152,51624,329,96,DungeonLabyrinth,DungeonLabyrinth,329.3125,-95.6875,329.5,-96.5,GiantStronghold
The Citadel of Gaersly,Ilessan Hills,42152,51624,329,96,DungeonLabyrinth,DungeonLabyrinth,329.3125,-95.6875,329.5,-96.5,RuinedCastle
The Vojthrac Mews,Wrothgarian Mountains,82728,63656,646,2,DungeonLabyrinth,DungeonLabyrinth,646.3125,-1.6875,646.5,-2.5,HarpyNest
Ruins of Mastersmith Hall,Wrothgarian Mountains,84264,63656,658,2,DungeonRuin,DungeonRuin,658.3125,-1.6875,658.5,-2.5,NaturalCave
Old Elyvyra's Shack,Wrothgarian Mountains,91944,63656,718,2,HomePoor,HomePoor,718.3125,-1.6875,718.5,-2.5,
Old Ysona's Shack,Wrothgarian Mountains,92968,63656,726,2,HomePoor,HomePoor,726.3125,-1.6875,726.5,-2.5,
Old Ysausa's Shack,Wrothgarian Mountains,93736,63656,732,2,HomePoor,HomePoor,732.3125,-1.6875,732.5,-2.5,
The Gaersley Graveyard,Wrothgarian Mountains,100136,63656,782,2,Graveyard,Graveyard,782.3125,-1.6875,782.5,-2.5,Cemetery
Ruins of Castle Copperwing,Wrothgarian Mountains,103464,63656,808,2,DungeonRuin,DungeonRuin,808.3125,-1.6875,808.5,-2.5,NaturalCave
The Wickham Graveyard,Wrothgarian Mountains,107304,63656,838,2,Graveyard,Graveyard,838.3125,-1.6875,838.5,-2.5,Cemetery
Blessed Omen of Kynareth,Wrothgarian Mountains,108072,63656,844,2,ReligionTemple,ReligionTemple,844.3125,-1.6875,844.5,-2.5,
Holy Star of Kynareth,Wrothgarian Mountains,109224,63656,853,2,ReligionTemple,ReligionTemple,853.3125,-1.6875,853.5,-2.5,
The Grotto of Morkoder,Wrothgarian Mountains,109736,63656,857,2,DungeonLabyrinth,DungeonLabyrinth,857.3125,-1.6875,857.5,-2.5,NaturalCave
Old Elyvyra's Hovel,Wrothgarian Mountains,110504,63656,863,2,HomePoor,HomePoor,863.3125,-1.6875,863.5,-2.5,
Old Elyvyra's Hovel,Daggerfall,24104,42536,188,167,HomePoor,HomePoor,188.3125,-166.6875,188.5,-167.5,
Old Elyvyra's Hovel,Ilessan Hills,30632,48808,239,118,HomePoor,HomePoor,239.3125,-117.6875,239.5,-118.5,
Eternal Sunrise of Kynareth,Wrothgarian Mountains,110760,63656,865,2,ReligionTemple,ReligionTemple,865.3125,-1.6875,865.5,-2.5,
Eternal Sunrise of Kynareth,Daggerfall,19752,41128,154,178,ReligionTemple,ReligionTemple,154.3125,-177.6875,154.5,-178.5,
The Morkilorgon Cavern,Wrothgarian Mountains,117032,63656,914,2,DungeonLabyrinth,DungeonLabyrinth,914.3125,-1.6875,914.5,-2.5,NaturalCave
The Cave of Asmodeusivah,Wrothgarian Mountains,117288,63656,916,2,DungeonLabyrinth,DungeonLabyrinth,916.3125,-1.6875,916.5,-2.5,NaturalCave
The Buckingsley Crypts,Wrothgarian Mountains,82984,63528,648,3,Graveyard,Graveyard,648.3125,-2.6875,648.5,-3.5,Cemetery
The Green Muskrat Inn,Wrothgarian Mountains,84648,63528,661,3,Tavern,Tavern,661.3125,-2.6875,661.5,-3.5,
The Green Muskrat Inn,Koegria,86568,48808,676,118,Tavern,Tavern,676.3125,-117.6875,676.5,-118.5,
The Toad and Woodchuck Pub,Wrothgarian Mountains,85416,63528,667,3,Tavern,Tavern,667.3125,-2.6875,667.5,-3.5,
Ashford Orchard,Wrothgarian Mountains,88360,63528,690,3,HomeFarms,HomeFarms,690.3125,-2.6875,690.5,-3.5,
Ashford Orchard,Wayrest,121896,36264,952,216,HomeFarms,HomeFarms,952.3125,-215.6875,952.5,-216.5,
Blackcester,Wrothgarian Mountains,89120,63528,696,3,TownVillage,TownVillage,696.25,-2.6875,696.5,-3.5,
The Thirsty Dragon Inn,Wrothgarian Mountains,89896,63528,702,3,Tavern,Tavern,702.3125,-2.6875,702.5,-3.5,
The Moorham Vaults,Wrothgarian Mountains,90280,63528,705,3,Graveyard,Graveyard,705.3125,-2.6875,705.5,-3.5,Cemetery
The Rodyn Tunnel,Wrothgarian Mountains,103848,63528,811,3,DungeonLabyrinth,DungeonLabyrinth,811.3125,-2.6875,811.5,-3.5,Mine
The Woodsmith Tombs,Wrothgarian Mountains,108968,63528,851,3,Graveyard,Graveyard,851.3125,-2.6875,851.5,-3.5,Cemetery
The Old Coppersmith Hovel,Wrothgarian Mountains,114600,63528,895,3,HomePoor,HomePoor,895.3125,-2.6875,895.5,-3.5,
Ruins of Gaersmith Court,Wrothgarian Mountains,114856,63528,897,3,DungeonRuin,DungeonRuin,897.3125,-2.6875,897.5,-3.5,GiantStronghold
The Silver Djinn Lodge,Wrothgarian Mountains,116392,63528,909,3,Tavern,Tavern,909.3125,-2.6875,909.5,-3.5,
The Silver Djinn Lodge,Bergama,51624,4520,403,464,Tavern,Tavern,403.3125,-463.6875,403.5,-464.5,
The Old Ashford Hovel,Wrothgarian Mountains,123816,63528,967,3,HomePoor,HomePoor,967.3125,-2.6875,967.5,-3.5,
Vancroft Hall,Wrothgarian Mountains,82712,63384,646,4,TownHamlet,TownHamlet,646.1875,-3.8125,646.5,-4.5,
Yagdoth,Wrothgarian Mountains,90792,63400,709,4,DungeonLabyrinth,DungeonLabyrinth,709.3125,-3.6875,709.5,-4.5,OrcStronghold
Knightshead,Wrothgarian Mountains,92432,63360,722,4,TownCity,TownCity,722.125,-4,722.5,-4.5,
Ruins of The Old Wicksley Shack,Wrothgarian Mountains,93224,63400,728,4,DungeonRuin,DungeonRuin,728.3125,-3.6875,728.5,-4.5,NaturalCave
Ruins of The Citadel of Kington,Wrothgarian Mountains,94888,63400,741,4,DungeonRuin,DungeonRuin,741.3125,-3.6875,741.5,-4.5,Mine
Gentle Oracle of Kynareth,Wrothgarian Mountains,101032,63400,789,4,ReligionTemple,ReligionTemple,789.3125,-3.6875,789.5,-4.5,
The Lion and Hedgehog Lodge,Wrothgarian Mountains,109736,63400,857,4,Tavern,Tavern,857.3125,-3.6875,857.5,-4.5,
Fearful Omen of Kynareth,Wrothgarian Mountains,111656,63400,872,4,ReligionTemple,ReligionTemple,872.3125,-3.6875,872.5,-4.5,
Infinite Relic of Kynareth,Wrothgarian Mountains,112296,63400,877,4,ReligionTemple,ReligionTemple,877.3125,-3.6875,877.5,-4.5,
The Old Kingford Hovel,Wrothgarian Mountains,113576,63400,887,4,HomePoor,HomePoor,887.3125,-3.6875,887.5,-4.5,
The Greensmith Farmstead,Wrothgarian Mountains,125352,63400,979,4,HomeFarms,HomeFarms,979.3125,-3.6875,979.5,-4.5,
The Greensmith Farmstead,Daggerfall,32808,41384,256,176,HomeFarms,HomeFarms,256.3125,-175.6875,256.5,-176.5,
The Greensmith Farmstead,Menevia,108072,39208,844,193,HomeFarms,HomeFarms,844.3125,-192.6875,844.5,-193.5,
The Greensmith Farmstead,Daenia,50344,53672,393,80,HomeFarms,HomeFarms,393.3125,-79.6875,393.5,-80.5,
Old Belladona's Place,Wrothgarian Mountains,80424,63272,628,5,HomePoor,HomePoor,628.3125,-4.6875,628.5,-5.5,
Ruins of Castle Wickhouse,Wrothgarian Mountains,91688,63272,716,5,DungeonRuin,DungeonRuin,716.3125,-4.6875,716.5,-5.5,NaturalCave
The Quarry of Rodyctor,Wrothgarian Mountains,93480,63272,730,5,DungeonLabyrinth,DungeonLabyrinth,730.3125,-4.6875,730.5,-5.5,Mine
Merlech,Wrothgarian Mountains,99200,63248,775,5,TownCity,TownCity,775,-4.875,775.5,-5.5,
Ruins of Kingham Grange,Wrothgarian Mountains,102056,63272,797,5,DungeonRuin,DungeonRuin,797.3125,-4.6875,797.5,-5.5,BarbarianStronghold
Ruins of Greenham Manor,Wrothgarian Mountains,104104,63272,813,5,DungeonRuin,DungeonRuin,813.3125,-4.6875,813.5,-5.5,Mine
Ruins of Greenham Manor,Wrothgarian Mountains,104104,63272,813,5,DungeonRuin,DungeonRuin,813.3125,-4.6875,813.5,-5.5,SpiderNest
Ruins of Greenham Manor,Ilessan Hills,43560,56104,340,61,DungeonRuin,DungeonRuin,340.3125,-60.6875,340.5,-61.5,Mine
Ruins of Greenham Manor,Ilessan Hills,43560,56104,340,61,DungeonRuin,DungeonRuin,340.3125,-60.6875,340.5,-61.5,SpiderNest
The Copperwing Tombs,Wrothgarian Mountains,107688,63272,841,5,Graveyard,Graveyard,841.3125,-4.6875,841.5,-5.5,Cemetery
Gaerhart Court,Wrothgarian Mountains,109992,63272,859,5,HomeWealthy,HomeWealthy,859.3125,-4.6875,859.5,-5.5,
Burning Star of Kynareth,Wrothgarian Mountains,112680,63272,880,5,ReligionTemple,ReligionTemple,880.3125,-4.6875,880.5,-5.5,
The Mastersmith Farmstead,Wrothgarian Mountains,115112,63272,899,5,HomeFarms,HomeFarms,899.3125,-4.6875,899.5,-5.5,
The Mastersmith Farmstead,Daggerfall,17320,39592,135,190,HomeFarms,HomeFarms,135.3125,-189.6875,135.5,-190.5,
The Mastersmith Farmstead,Glenpoint,25384,47272,198,130,HomeFarms,HomeFarms,198.3125,-129.6875,198.5,-130.5,
The Mastersmith Farmstead,Ykalon,38696,60968,302,23,HomeFarms,HomeFarms,302.3125,-22.6875,302.5,-23.5,
Mooring Grange,Wrothgarian Mountains,124584,63272,973,5,HomeFarms,HomeFarms,973.3125,-4.6875,973.5,-5.5,
Old Ysyssa's Farm,Wrothgarian Mountains,97576,63144,762,6,HomeFarms,HomeFarms,762.3125,-5.6875,762.5,-6.5,
Perpetual Altar of Kynareth,Wrothgarian Mountains,102696,63144,802,6,ReligionTemple,ReligionTemple,802.3125,-5.6875,802.5,-6.5,
Perpetual Altar of Kynareth,Daggerfall,23208,44584,181,151,ReligionTemple,ReligionTemple,181.3125,-150.6875,181.5,-151.5,
Fearful Sunrise of Kynareth,Wrothgarian Mountains,111016,63144,867,6,ReligionTemple,ReligionTemple,867.3125,-5.6875,867.5,-6.5,
Fearful Sunrise of Kynareth,Daggerfall,35112,38440,274,199,ReligionTemple,ReligionTemple,274.3125,-198.6875,274.5,-199.5,
Fearful Sunrise of Kynareth,Kozanset,90280,22696,705,322,ReligionTemple,ReligionTemple,705.3125,-321.6875,705.5,-322.5,
The Citadel of Hawkford,Wrothgarian Mountains,114088,63144,891,6,DungeonKeep,DungeonKeep,891.3125,-5.6875,891.5,-6.5,NaturalCave
The Cave of Dispulia,Wrothgarian Mountains,120232,63144,939,6,DungeonLabyrinth,DungeonLabyrinth,939.3125,-5.6875,939.5,-6.5,NaturalCave
The Queen's Rascal Pub,Wrothgarian Mountains,120488,63144,941,6,Tavern,Tavern,941.3125,-5.6875,941.5,-6.5,
The Queen's Rascal Pub,Totambu,117800,14248,920,388,Tavern,Tavern,920.3125,-387.6875,920.5,-388.5,
Ruins of The Wickton Farmstead,Wrothgarian Mountains,81064,63016,633,7,DungeonRuin,DungeonRuin,633.3125,-6.6875,633.5,-7.5,Mine
Ruins of The Wickton Farmstead,Wrothgarian Mountains,81064,63016,633,7,DungeonRuin,DungeonRuin,633.3125,-6.6875,633.5,-7.5,VampireHaunt
Ruins of The Wickton Farmstead,Gavaudon,123688,37800,966,204,DungeonRuin,DungeonRuin,966.3125,-203.6875,966.5,-204.5,Mine
Ruins of The Wickton Farmstead,Gavaudon,123688,37800,966,204,DungeonRuin,DungeonRuin,966.3125,-203.6875,966.5,-204.5,VampireHaunt
Ruins of The Hold of Buckington,Wrothgarian Mountains,82344,63016,643,7,DungeonRuin,DungeonRuin,643.3125,-6.6875,643.5,-7.5,Mine
The Old Wickston Shack,Wrothgarian Mountains,84136,63016,657,7,HomePoor,HomePoor,657.3125,-6.6875,657.5,-7.5,
The Conclave of Vyctyssa,Wrothgarian Mountains,87848,63016,686,7,DungeonLabyrinth,DungeonLabyrinth,686.3125,-6.6875,686.5,-7.5,BarbarianStronghold
Bleeding Omen of Kynareth,Wrothgarian Mountains,90152,63016,704,7,ReligionTemple,ReligionTemple,704.3125,-6.6875,704.5,-7.5,
Bleeding Omen of Kynareth,Daggerfall,22184,35880,173,219,ReligionTemple,ReligionTemple,173.3125,-218.6875,173.5,-219.5,
Ruins of Old Elyzanna's Farm,Wrothgarian Mountains,92328,63016,721,7,DungeonRuin,DungeonRuin,721.3125,-6.6875,721.5,-7.5,VolcanicCaves
Grimbrone,Wrothgarian Mountains,92584,63008,723,7,TownVillage,TownVillage,723.3125,-6.75,723.5,-7.5,
Stoktown,Wrothgarian Mountains,93336,63008,729,7,TownHamlet,TownHamlet,729.1875,-6.75,729.5,-7.5,
Ashcroft Orchard,Wrothgarian Mountains,95400,63016,745,7,HomeFarms,HomeFarms,745.3125,-6.6875,745.5,-7.5,
Castle Greenfield,Wrothgarian Mountains,96296,63016,752,7,DungeonKeep,DungeonKeep,752.3125,-6.6875,752.5,-7.5,VolcanicCaves
Castle Greenfield,Wrothgarian Mountains,96296,63016,752,7,DungeonKeep,DungeonKeep,752.3125,-6.6875,752.5,-7.5,NaturalCave
Castle Greenfield,Wrothgarian Mountains,96296,63016,752,7,DungeonKeep,DungeonKeep,752.3125,-6.6875,752.5,-7.5,Coven
Castle Greenfield,Anticlere,50472,44712,394,150,DungeonKeep,DungeonKeep,394.3125,-149.6875,394.5,-150.5,VolcanicCaves
Castle Greenfield,Anticlere,50472,44712,394,150,DungeonKeep,DungeonKeep,394.3125,-149.6875,394.5,-150.5,NaturalCave
Castle Greenfield,Anticlere,50472,44712,394,150,DungeonKeep,DungeonKeep,394.3125,-149.6875,394.5,-150.5,Coven
Castle Greenfield,Shalgora,39592,40232,309,185,DungeonKeep,DungeonKeep,309.3125,-184.6875,309.5,-185.5,VolcanicCaves
Castle Greenfield,Shalgora,39592,40232,309,185,DungeonKeep,DungeonKeep,309.3125,-184.6875,309.5,-185.5,NaturalCave
Castle Greenfield,Shalgora,39592,40232,309,185,DungeonKeep,DungeonKeep,309.3125,-184.6875,309.5,-185.5,Coven
Sekirthrac,Wrothgarian Mountains,101928,63016,796,7,DungeonLabyrinth,DungeonLabyrinth,796.3125,-6.6875,796.5,-7.5,GiantStronghold
The Edworyan Quarry,Wrothgarian Mountains,105256,63016,822,7,DungeonLabyrinth,DungeonLabyrinth,822.3125,-6.6875,822.5,-7.5,Mine
Gentle Sunrise of Kynareth,Wrothgarian Mountains,108328,63016,846,7,ReligionTemple,ReligionTemple,846.3125,-6.6875,846.5,-7.5,
Gentle Sunrise of Kynareth,Daggerfall,14632,41896,114,172,ReligionTemple,ReligionTemple,114.3125,-171.6875,114.5,-172.5,
Inner Idol of Kynareth,Wrothgarian Mountains,111400,63016,870,7,ReligionTemple,ReligionTemple,870.3125,-6.6875,870.5,-7.5,
Copperford Orchard,Wrothgarian Mountains,112424,63016,878,7,HomeFarms,HomeFarms,878.3125,-6.6875,878.5,-7.5,
Copperford Orchard,Daggerfall,29864,46504,233,136,HomeFarms,HomeFarms,233.3125,-135.6875,233.5,-136.5,
Greenhart Court,Wrothgarian Mountains,114472,63016,894,7,HomeWealthy,HomeWealthy,894.3125,-6.6875,894.5,-7.5,
Wickwing Manor,Wrothgarian Mountains,82088,62888,641,8,HomeWealthy,HomeWealthy,641.3125,-7.6875,641.5,-8.5,
Wickwing Manor,Anticlere,45864,43560,358,159,HomeWealthy,HomeWealthy,358.3125,-158.6875,358.5,-159.5,
Wickwing Manor,Glenumbra Moors,9640,52520,75,89,HomeWealthy,HomeWealthy,75.3125,-88.6875,75.5,-89.5,
Wickwing Manor,Ilessan Hills,38952,55592,304,65,HomeWealthy,HomeWealthy,304.3125,-64.6875,304.5,-65.5,
Hawkton Manor,Wrothgarian Mountains,82728,62888,646,8,HomeWealthy,HomeWealthy,646.3125,-7.6875,646.5,-8.5,
Hawkton Manor,Kambria,78248,52648,611,88,HomeWealthy,HomeWealthy,611.3125,-87.6875,611.5,-88.5,
Hawkton Manor,Ilessan Hills,23976,55080,187,69,HomeWealthy,HomeWealthy,187.3125,-68.6875,187.5,-69.5,
Ruins of Tower Copperston,Wrothgarian Mountains,89768,62888,701,8,DungeonRuin,DungeonRuin,701.3125,-7.6875,701.5,-8.5,NaturalCave
The Hole of Asmateus,Wrothgarian Mountains,91432,62888,714,8,DungeonLabyrinth,DungeonLabyrinth,714.3125,-7.6875,714.5,-8.5,NaturalCave
Blessed Altar of Kynareth,Wrothgarian Mountains,92072,62888,719,8,ReligionTemple,ReligionTemple,719.3125,-7.6875,719.5,-8.5,
Ruins of Old Elolda's Place,Wrothgarian Mountains,92968,62888,726,8,DungeonRuin,DungeonRuin,726.3125,-7.6875,726.5,-8.5,Crypt
The Demileusunah Cavern,Wrothgarian Mountains,93864,62888,733,8,DungeonLabyrinth,DungeonLabyrinth,733.3125,-7.6875,733.5,-8.5,NaturalCave
Ruins of Woodhouse Tower,Wrothgarian Mountains,94120,62888,735,8,DungeonRuin,DungeonRuin,735.3125,-7.6875,735.5,-8.5,NaturalCave
Eternal Seer of Kynareth,Wrothgarian Mountains,94504,62888,738,8,ReligionTemple,ReligionTemple,738.3125,-7.6875,738.5,-8.5,
Eternal Seer of Kynareth,Daggerfall,23464,37544,183,206,ReligionTemple,ReligionTemple,183.3125,-205.6875,183.5,-206.5,
Ruins of Wickfield Tower,Wrothgarian Mountains,100520,62888,785,8,DungeonRuin,DungeonRuin,785.3125,-7.6875,785.5,-8.5,VolcanicCaves
The Wickford Farmstead,Wrothgarian Mountains,109864,62888,858,8,HomeFarms,HomeFarms,858.3125,-7.6875,858.5,-8.5,
The Wickford Farmstead,Glenpoint,26536,52392,207,90,HomeFarms,HomeFarms,207.3125,-89.6875,207.5,-90.5,
The Wickford Farmstead,Anticlere,46120,46248,360,138,HomeFarms,HomeFarms,360.3125,-137.6875,360.5,-138.5,
The Wickford Farmstead,Wayrest,117160,33960,915,234,HomeFarms,HomeFarms,915.3125,-233.6875,915.5,-234.5,
Longley,Wrothgarian Mountains,113688,62880,888,8,TownHamlet,TownHamlet,888.1875,-7.75,888.5,-8.5,
Longley,Daggerfall,12704,39080,99,194,TownVillage,TownVillage,99.25,-193.6875,99.5,-194.5,
Old Morgyrrya's Hovel,Wrothgarian Mountains,115624,62888,903,8,HomePoor,HomePoor,903.3125,-7.6875,903.5,-8.5,
The Old Coppercroft Shack,Wrothgarian Mountains,79016,62760,617,9,HomePoor,HomePoor,617.3125,-8.6875,617.5,-9.5,
The Old Coppercroft Shack,Wrothgarian Mountains,105000,57512,820,50,HomePoor,HomePoor,820.3125,-49.6875,820.5,-50.5,
The Old Coppercroft Shack,Glenpoint,19624,53928,153,78,HomePoor,HomePoor,153.3125,-77.6875,153.5,-78.5,
The Old Coppercroft Shack,Anticlere,54952,42920,429,164,HomePoor,HomePoor,429.3125,-163.6875,429.5,-164.5,
Midwark Field,Wrothgarian Mountains,79264,62752,619,9,TownVillage,TownVillage,619.25,-8.75,619.5,-9.5,
The Greenford Farmstead,Wrothgarian Mountains,80552,62760,629,9,HomeFarms,HomeFarms,629.3125,-8.6875,629.5,-9.5,
The Greenford Farmstead,Daggerfall,19240,43432,150,160,HomeFarms,HomeFarms,150.3125,-159.6875,150.5,-160.5,
The Greenford Farmstead,Bhoraine,81448,51624,636,96,HomeFarms,HomeFarms,636.3125,-95.6875,636.5,-96.5,
Ruins of Ashcroft Hall,Wrothgarian Mountains,81192,62760,634,9,DungeonRuin,DungeonRuin,634.3125,-8.6875,634.5,-9.5,BarbarianStronghold
Gothcastle,Wrothgarian Mountains,83872,62752,655,9,TownVillage,TownVillage,655.25,-8.75,655.5,-9.5,
Gothwark,Wrothgarian Mountains,96392,62736,753,9,TownCity,TownCity,753.0625,-8.875,753.5,-9.5,
Holy Seer of Kynareth,Wrothgarian Mountains,101032,62760,789,9,ReligionTemple,ReligionTemple,789.3125,-8.6875,789.5,-9.5,
Ruins of Ashham Court,Wrothgarian Mountains,102568,62760,801,9,DungeonRuin,DungeonRuin,801.3125,-8.6875,801.5,-9.5,Mine
The Hold of Ashsly,Wrothgarian Mountains,104872,62760,819,9,DungeonKeep,DungeonKeep,819.3125,-8.6875,819.5,-9.5,RuinedCastle
The Old Hearthing Hovel,Wrothgarian Mountains,105768,62760,826,9,HomePoor,HomePoor,826.3125,-8.6875,826.5,-9.5,
The Old Hearthing Hovel,Phrygias,58792,60584,459,26,HomePoor,HomePoor,459.3125,-25.6875,459.5,-26.5,
The Dungeon of Theodyctor,Wrothgarian Mountains,107304,62760,838,9,DungeonLabyrinth,DungeonLabyrinth,838.3125,-8.6875,838.5,-9.5,Prison
Lamworth,Wrothgarian Mountains,112664,62744,880,9,TownHamlet,TownHamlet,880.1875,-8.8125,880.5,-9.5,
Old Vyctyn's Place,Wrothgarian Mountains,115112,62760,899,9,HomePoor,HomePoor,899.3125,-8.6875,899.5,-9.5,
Fearful Light of Kynareth,Wrothgarian Mountains,116904,62760,913,9,ReligionTemple,ReligionTemple,913.3125,-8.6875,913.5,-9.5,
Fearful Light of Kynareth,Daggerfall,16680,39464,130,191,ReligionTemple,ReligionTemple,130.3125,-190.6875,130.5,-191.5,
Westgate ,Wrothgarian Mountains,119584,62752,934,9,TownVillage,TownVillage,934.25,-8.75,934.5,-9.5,
Old Elayne's Farm,Wrothgarian Mountains,121000,62760,945,9,HomeFarms,HomeFarms,945.3125,-8.6875,945.5,-9.5,
Old Elayne's Farm,Anticlere,53672,40744,419,181,HomeFarms,HomeFarms,419.3125,-180.6875,419.5,-181.5,
Ruins of Ashsly's Guard,Wrothgarian Mountains,121640,62760,950,9,DungeonRuin,DungeonRuin,950.3125,-8.6875,950.5,-9.5,Mine
The Screaming Gnome Tavern,Wrothgarian Mountains,125736,62760,982,9,Tavern,Tavern,982.3125,-8.6875,982.5,-9.5,
The Coppersmith Farmstead,Wrothgarian Mountains,78376,62632,612,10,HomeFarms,HomeFarms,612.3125,-9.6875,612.5,-10.5,
The Coppersmith Farmstead,Daggerfall,16680,38952,130,195,HomeFarms,HomeFarms,130.3125,-194.6875,130.5,-195.5,
The Fox and Goblin Lodge,Wrothgarian Mountains,80808,62632,631,10,Tavern,Tavern,631.3125,-9.6875,631.5,-10.5,
The Fox and Goblin Lodge,Anticlere,55848,43304,436,161,Tavern,Tavern,436.3125,-160.6875,436.5,-161.5,
Buckingfield Grange,Wrothgarian Mountains,83368,62632,651,10,HomeFarms,HomeFarms,651.3125,-9.6875,651.5,-10.5,
Wailing Light of Kynareth,Wrothgarian Mountains,88104,62632,688,10,ReligionTemple,ReligionTemple,688.3125,-9.6875,688.5,-10.5,
The Ashsly Farmstead,Wrothgarian Mountains,89384,62632,698,10,HomeFarms,HomeFarms,698.3125,-9.6875,698.5,-10.5,
The Ashsly Farmstead,Glenpoint,18600,48936,145,117,HomeFarms,HomeFarms,145.3125,-116.6875,145.5,-117.5,
The Ashsly Farmstead,Anticlere,63400,45992,495,140,HomeFarms,HomeFarms,495.3125,-139.6875,495.5,-140.5,
The Ashsly Farmstead,Ilessan Hills,44072,54056,344,77,HomeFarms,HomeFarms,344.3125,-76.6875,344.5,-77.5,
The Fortress of Buckinging,Wrothgarian Mountains,92456,62632,722,10,DungeonKeep,DungeonKeep,722.3125,-9.6875,722.5,-10.5,NaturalCave
The Citadel of Greenfield,Wrothgarian Mountains,94504,62632,738,10,DungeonKeep,DungeonKeep,738.3125,-9.6875,738.5,-10.5,Mine
The White Goat Pub,Wrothgarian Mountains,98856,62632,772,10,Tavern,Tavern,772.3125,-9.6875,772.5,-10.5,
Bleeding Redeemer of Kynareth,Wrothgarian Mountains,99752,62632,779,10,ReligionTemple,ReligionTemple,779.3125,-9.6875,779.5,-10.5,
Bleeding Redeemer of Kynareth,Daggerfall,27176,38824,212,196,ReligionTemple,ReligionTemple,212.3125,-195.6875,212.5,-196.5,
Ruins of Kinghart Manor,Wrothgarian Mountains,105384,62632,823,10,DungeonRuin,DungeonRuin,823.3125,-9.6875,823.5,-10.5,NaturalCave
Ruins of Kinghart Manor,Wrothgarian Mountains,105384,62632,823,10,DungeonRuin,DungeonRuin,823.3125,-9.6875,823.5,-10.5,Mine
Ruins of Kinghart Manor,Wayrest,113960,40232,890,185,DungeonRuin,DungeonRuin,890.3125,-184.6875,890.5,-185.5,NaturalCave
Ruins of Kinghart Manor,Wayrest,113960,40232,890,185,DungeonRuin,DungeonRuin,890.3125,-184.6875,890.5,-185.5,Mine
Pening Minster,Wrothgarian Mountains,106912,62624,835,10,TownVillage,TownVillage,835.25,-9.75,835.5,-10.5,
The Copperton Farmstead,Wrothgarian Mountains,110376,62632,862,10,HomeFarms,HomeFarms,862.3125,-9.6875,862.5,-10.5,
The Copperton Farmstead,Daggerfall,20904,44840,163,149,HomeFarms,HomeFarms,163.3125,-148.6875,163.5,-149.5,
The Copperton Farmstead,Anticlere,56488,43048,441,163,HomeFarms,HomeFarms,441.3125,-162.6875,441.5,-163.5,
The Copperton Farmstead,Menevia,102312,43432,799,160,HomeFarms,HomeFarms,799.3125,-159.6875,799.5,-160.5,
The Copperton Farmstead,Urvaius,61736,50600,482,104,HomeFarms,HomeFarms,482.3125,-103.6875,482.5,-104.5,
The Copperton Farmstead,Ilessan Hills,32424,48552,253,120,HomeFarms,HomeFarms,253.3125,-119.6875,253.5,-120.5,
Ruins of The Yeomsly Plantation,Wrothgarian Mountains,110632,62632,864,10,DungeonRuin,DungeonRuin,864.3125,-9.6875,864.5,-10.5,VolcanicCaves
The Crimson Djinn Inn,Wrothgarian Mountains,113320,62632,885,10,Tavern,Tavern,885.3125,-9.6875,885.5,-10.5,
The Gaerhouse Farmstead,Wrothgarian Mountains,115368,62632,901,10,HomeFarms,HomeFarms,901.3125,-9.6875,901.5,-10.5,
The Gaerhouse Farmstead,Kambria,73384,54184,573,76,HomeFarms,HomeFarms,573.3125,-75.6875,573.5,-76.5,
The Gaerhouse Farmstead,Phrygias,62248,60840,486,24,HomeFarms,HomeFarms,486.3125,-23.6875,486.5,-24.5,
The Gaerhouse Farmstead,Urvaius,61096,56616,477,57,HomeFarms,HomeFarms,477.3125,-56.6875,477.5,-57.5,
The Gaerhouse Farmstead,Shalgora,40232,39208,314,193,HomeFarms,HomeFarms,314.3125,-192.6875,314.5,-193.5,
Old Lysona's Farm,Wrothgarian Mountains,117544,62632,918,10,HomeFarms,HomeFarms,918.3125,-9.6875,918.5,-10.5,
The Woodford Graveyard,Wrothgarian Mountains,120488,62632,941,10,Graveyard,Graveyard,941.3125,-9.6875,941.5,-10.5,Cemetery
The Woodford Graveyard,Wrothgarian Mountains,120488,62632,941,10,Graveyard,Graveyard,941.3125,-9.6875,941.5,-10.5,Cemetery
The Woodford Graveyard,Kambria,73256,53928,572,78,Graveyard,Graveyard,572.3125,-77.6875,572.5,-78.5,Cemetery
The Woodford Graveyard,Kambria,73256,53928,572,78,Graveyard,Graveyard,572.3125,-77.6875,572.5,-78.5,Cemetery
Wailing Ascencion of Kynareth,Wrothgarian Mountains,121256,62632,947,10,ReligionTemple,ReligionTemple,947.3125,-9.6875,947.5,-10.5,
Wailing Ascencion of Kynareth,Daggerfall,23336,35368,182,223,ReligionTemple,ReligionTemple,182.3125,-222.6875,182.5,-223.5,
The Old Moorston Hovel,Wrothgarian Mountains,122024,62632,953,10,HomePoor,HomePoor,953.3125,-9.6875,953.5,-10.5,
The Old Moorston Hovel,Menevia,105896,37416,827,207,HomePoor,HomePoor,827.3125,-206.6875,827.5,-207.5,
